,db,g,i,r,u,y,z
0,agnddf_v1.5_10yrs.db,24.520841365632105,23.412916874073535,24.024872969158565,23.56596863967163,21.99247459213662,22.769312934363057
1,alt_dust_v1.5_10yrs.db,24.477674651714896,23.357232260396692,23.97168741939392,23.522699307659742,21.93927294068788,22.713091533045546
2,alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,24.459074974543476,23.29164421314998,23.90549861489381,23.51506306729049,21.89549265856168,22.66468363943191
3,baseline_2snaps_v1.5_10yrs.db,24.448970191055388,23.386586093445946,23.984788115777732,23.377363819811997,21.983991676869636,22.760202848602027
4,baseline_v1.5_10yrs.db,24.51581124440304,23.39955595564242,24.016739231602635,23.574091528921787,21.995174456789492,22.768451582345303
5,bulges_bs_v1.5_10yrs.db,24.519509842350363,23.410157236430166,24.017869967210196,23.573930173385268,21.998544152483568,22.774075336992947
6,bulges_bulge_wfd_v1.5_10yrs.db,24.51761734411767,23.41442650395255,24.017863757027726,23.574173763147012,21.996369923573866,22.778368711412703
7,bulges_cadence_bs_v1.5_10yrs.db,24.51487451617119,23.412798489321325,24.0179841378172,23.572009095199324,21.99449673334936,22.777059149232326
8,bulges_cadence_bulge_wfd_v1.5_10yrs.db,24.511278187613225,23.418793313562077,24.01674438739835,23.57479153694228,21.995320328633863,22.775519081981514
9,bulges_cadence_i_heavy_v1.5_10yrs.db,24.521410052007035,23.407850320618927,24.019394883508344,23.57317294877573,21.99830298841493,22.775464552755498
10,bulges_i_heavy_v1.5_10yrs.db,24.510672972498252,23.413716515420823,24.017840343992912,23.56935344233487,21.992991624890507,22.7747340858414
11,daily_ddf_v1.5_10yrs.db,24.519420479841738,23.39339115429138,24.016747853957522,23.57465233035477,21.982383278143242,22.76613997777531
12,dcr_nham1_ug_v1.5_10yrs.db,24.296288170271158,23.410952595955646,24.011851590512407,23.436233849179718,21.990246672668835,22.767672357013954
13,dcr_nham1_ugr_v1.5_10yrs.db,24.407174824256185,23.39396946470116,23.929805163646655,23.43760591165808,21.995688747654064,22.775196036983026
14,dcr_nham1_ugri_v1.5_10yrs.db,24.415831096843267,23.34273884544884,23.958954523540704,23.44134000146053,21.992550428317298,22.768462456623915
15,dcr_nham2_ug_v1.5_10yrs.db,24.20779083808388,23.414168489086293,23.99606005800706,23.348254898593716,21.991160555711108,22.766493991303044
16,dcr_nham2_ugr_v1.5_10yrs.db,24.343172355041354,23.38757530723463,23.885158982781356,23.354005972969205,21.988257214833776,22.774713031007373
17,dcr_nham2_ugri_v1.5_10yrs.db,24.349352349916238,23.300303540049242,23.920668270728896,23.365821179053036,21.99153510296021,22.758565320140978
18,descddf_v1.5_10yrs.db,24.521320104976283,23.42085055802991,24.023332176018386,23.575772547184926,21.99560979514397,22.767802599182858
19,filterdist_indx1_v1.5_10yrs.db,24.51502855748952,23.35085133787036,23.982894499072483,23.576069248435655,21.993238412840423,22.78232644861839
20,filterdist_indx2_v1.5_10yrs.db,24.52271369836095,23.432554561471466,24.028133469926843,23.574116895780993,22.01194475362711,22.79628900745087
21,filterdist_indx3_v1.5_10yrs.db,24.504844574446846,23.358381602474427,24.03064379732952,23.57655470599909,22.00097119751544,22.785923554588322
22,filterdist_indx4_v1.5_10yrs.db,24.528545038030835,23.36644638189334,24.008263829025232,23.57252117613714,21.99867168030243,22.80310938523784
23,filterdist_indx5_v1.5_10yrs.db,24.536249538199357,23.50015629050657,24.056476310028952,23.570229314761075,22.019231363561513,22.791607545589308
24,filterdist_indx6_v1.5_10yrs.db,24.52739689235927,23.406255316971887,24.02419849617312,23.567236408358912,22.003170335705942,22.806995540192503
25,filterdist_indx7_v1.5_10yrs.db,24.538460584916724,23.397810021782806,24.025299575225706,23.588501451937653,22.00488659030513,22.796395200308538
26,filterdist_indx8_v1.5_10yrs.db,24.520675046842385,23.444224491296225,24.041533985809767,23.56760846885553,22.015332240413297,22.804163873017092
27,footprint_add_mag_cloudsv1.5_10yrs.db,24.51811641892475,23.407405621897027,24.01968670614987,23.574457714532485,21.98897165455301,22.773113544227602
28,footprint_big_sky_dustv1.5_10yrs.db,24.46544196251458,23.357814974790926,23.964101663532492,23.509601026517547,21.943603797279923,22.729070337071406
29,footprint_big_sky_nouiyv1.5_10yrs.db,24.444772862495107,23.33294361427489,23.947800124933497,23.496519191185854,21.921540447683725,22.704820324539238
30,footprint_big_skyv1.5_10yrs.db,24.451626338436558,23.34181487849077,23.951215230949266,23.498517683243243,21.922791763158642,22.703777787984855
31,footprint_big_wfdv1.5_10yrs.db,24.457216193048716,23.24580076010793,23.985777070549155,23.530195089336168,21.90156737233747,22.732796869998477
32,footprint_bluer_footprintv1.5_10yrs.db,24.468986882184385,23.311002384151386,23.98087509729053,23.56945665478902,21.982740121709185,22.74529764609882
33,footprint_gp_smoothv1.5_10yrs.db,24.528128138993996,23.410952226866115,24.02753959832291,23.573611769236674,22.001136947063173,22.782370067106413
34,footprint_newAv1.5_10yrs.db,24.476414252789503,23.373836946300433,23.978402826935397,23.534631493884252,21.9550950234011,22.744984690527442
35,footprint_newBv1.5_10yrs.db,24.47191735444425,23.360555864810262,23.96962711022459,23.538682229384484,21.951824042911497,22.734556530773162
36,footprint_no_gp_northv1.5_10yrs.db,24.51538375382616,23.394975160940366,24.011682991818073,23.569959557506643,21.993342303932224,22.767629156109994
37,footprint_standard_goalsv1.5_10yrs.db,24.512436860884236,23.39940247543734,24.010160574951435,23.565027701923142,21.991932355678294,22.772051097310705
38,footprint_stuck_rollingv1.5_10yrs.db,24.481363983880172,23.313145378405842,23.93388040387543,23.54591541154785,21.936354789893837,22.69007064820601
39,goodseeing_gi_v1.5_10yrs.db,24.46913545887507,23.424262563478525,24.006983318493486,23.558893153408597,21.958188852605286,22.780278795935644
40,goodseeing_gri_v1.5_10yrs.db,24.483993780726806,23.409737998380283,24.001202907272177,23.584044132710673,21.956071873626033,22.78036929680873
41,goodseeing_griz_v1.5_10yrs.db,24.48945453527481,23.399072029890252,24.000904497657498,23.58344899575345,21.981200811415015,22.783313738171046
42,goodseeing_gz_v1.5_10yrs.db,24.49421567860373,23.40882992789846,23.999656646606216,23.575989015636196,21.969123551540946,22.7881104709223
43,goodseeing_i_v1.5_10yrs.db,24.478446886892012,23.43894682836874,24.016378998062635,23.534717394027872,21.959490028871063,22.779749396886753
44,greedy_footprint_v1.5_10yrs.db,24.521879128098064,23.377100587003465,23.984670186547792,23.570851298969178,21.99435599229879,22.76866547599185
45,roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,24.462781354781757,23.29897017432325,23.911749122535287,23.530102182622823,21.912050999164183,22.677461927494686
46,rolling_mod2_sdf_0.10_v1.5_10yrs.db,24.50341147848541,23.32222116469402,23.94128459496371,23.563765233657083,21.948725748619072,22.70927175331396
47,rolling_mod2_sdf_0.20_v1.5_10yrs.db,24.5048625487348,23.327620184893988,23.94492005071782,23.561819106330024,21.95071833842485,22.71300437327492
48,rolling_mod3_sdf_0.10_v1.5_10yrs.db,24.489016844253886,23.28887887070003,23.90363671790611,23.56136933453849,21.914475716457236,22.681756209992432
49,rolling_mod3_sdf_0.20_v1.5_10yrs.db,24.486342236840475,23.291422624206398,23.90684513537796,23.558190813676593,21.920311354275206,22.68505061818183
50,rolling_mod6_sdf_0.10_v1.5_10yrs.db,24.444658221261797,23.241844043326278,23.848603783737023,23.539013590507448,21.881091059527375,22.654218574222202
51,rolling_mod6_sdf_0.20_v1.5_10yrs.db,24.458178773211973,23.25756604842912,23.858486263886203,23.54225496689323,21.88957903843952,22.658038150191345
52,short_exp_2ns_1expt_v1.5_10yrs.db,23.926696428956483,23.185095191344082,23.78033006728988,22.561043891999162,21.762839527744166,22.543308071880368
53,short_exp_2ns_5expt_v1.5_10yrs.db,24.227876062474042,23.295869390725223,23.900768106020912,23.06922325249071,21.876551385419184,22.655062985434224
54,short_exp_5ns_1expt_v1.5_10yrs.db,23.273252213944296,22.935808475329107,23.496263578013114,21.92993876209498,21.507396245716887,22.277619479079974
55,short_exp_5ns_5expt_v1.5_10yrs.db,23.91046072663531,23.16493089422813,23.758215650510916,22.76198459607926,21.742466733090207,22.51244696834119
56,spiders_v1.5_10yrs.db,24.514837230305965,23.40132443752844,24.014900717686135,23.576816550588287,21.98943538990375,22.772708818023702
57,third_obs_pt120v1.5_10yrs.db,24.506812255167382,23.407425828522072,24.009297348370627,23.563434404191106,21.978695874331528,22.760239095714756
58,third_obs_pt15v1.5_10yrs.db,24.51581124440304,23.39955595564242,24.016739231602635,23.574091528921787,21.995174456789492,22.768451582345303
59,third_obs_pt30v1.5_10yrs.db,24.520004508457617,23.4014705523209,24.01512298022551,23.567032499515687,21.9951023502608,22.766839669490157
60,third_obs_pt45v1.5_10yrs.db,24.520845998234922,23.404700102146602,24.017267880522226,23.57149837387875,21.99184792753896,22.768355591770373
61,third_obs_pt60v1.5_10yrs.db,24.51379516728702,23.407684917010727,24.01438399646958,23.57166095274745,21.984847865503628,22.766805007432495
62,third_obs_pt90v1.5_10yrs.db,24.508010554498515,23.408035113163272,24.012340163197965,23.562858269292136,21.981374672739214,22.764203556285544
63,twilight_neo_mod1_v1.5_10yrs.db,24.508360703835532,22.290712345705025,22.745250909641065,23.565418436441647,21.96261464203452,21.610992222498062
64,twilight_neo_mod2_v1.5_10yrs.db,24.506161552118186,22.768740655650774,23.288995402694265,23.569795779223046,21.98140049854339,22.126038003866867
65,twilight_neo_mod3_v1.5_10yrs.db,24.50601702617983,22.95501579210873,23.503720759692698,23.569637230390423,21.981450854479625,22.322224207299385
66,twilight_neo_mod4_v1.5_10yrs.db,24.512137071898387,23.063100861223955,23.626579647326977,23.57257947750868,21.986752333817087,22.42480722961507
67,u60_v1.5_10yrs.db,24.618175231938878,23.391493951179868,24.035168707214453,24.12513870932469,21.988511180868983,22.766631015664217
68,var_expt_v1.5_10yrs.db,24.42005950082186,23.508620872178955,24.006042731932887,23.306436173088205,21.97446547220285,22.889030308685673
69,wfd_depth_scale0.65_noddf_v1.5_10yrs.db,24.521240146106425,23.416176842972188,24.022949912233756,23.574621365252188,21.99935266487916,22.78015249834774
70,wfd_depth_scale0.65_v1.5_10yrs.db,24.51365364279088,23.394725543756575,24.009772856961522,23.580995532467718,21.98976013370558,22.77087545631184
71,wfd_depth_scale0.70_noddf_v1.5_10yrs.db,24.518037773888242,23.421231713572563,24.023823003504685,23.57411403031992,21.99631283603971,22.7837018776086
72,wfd_depth_scale0.70_v1.5_10yrs.db,24.514732021351357,23.393985297377878,24.010519808780728,23.578332954438288,21.990547492066828,22.769794041850393
73,wfd_depth_scale0.75_noddf_v1.5_10yrs.db,24.51378005990482,23.417171247947927,24.024972994601608,23.579491445046102,21.998689445984457,22.78058164353312
74,wfd_depth_scale0.75_v1.5_10yrs.db,24.5095266093154,23.39704697183538,24.014833342646096,23.56933045751402,21.99009963355315,22.77186977567413
75,wfd_depth_scale0.80_noddf_v1.5_10yrs.db,24.515715337179156,23.414025595432346,24.02318061761948,23.57316147568304,21.996087366864998,22.779020992985377
76,wfd_depth_scale0.80_v1.5_10yrs.db,24.510910191157286,23.398230854716708,24.01129693830618,23.57384892263131,21.988199440310204,22.76881352367984
77,wfd_depth_scale0.85_noddf_v1.5_10yrs.db,24.520849719964378,23.415743114167608,24.025569315217915,23.56934872257367,22.00001829039765,22.776442696230422
78,wfd_depth_scale0.85_v1.5_10yrs.db,24.512155103392164,23.396799755904254,24.013219387307377,23.572553915159624,21.98987446158116,22.76676055545776
79,wfd_depth_scale0.90_noddf_v1.5_10yrs.db,24.525340489609047,23.416671898495935,24.022059229686576,23.578541159464134,21.99680472196436,22.778493436490706
80,wfd_depth_scale0.90_v1.5_10yrs.db,24.51066305849871,23.401475014323506,24.016692237076114,23.567005972459725,21.994226657871234,22.769918598856492
81,wfd_depth_scale0.95_noddf_v1.5_10yrs.db,24.519482572134375,23.41807431114378,24.025020772170972,23.573979572937898,21.99956127264269,22.777981993809217
82,wfd_depth_scale0.95_v1.5_10yrs.db,24.519138660717267,23.405469705249175,24.01402547301135,23.574179785239075,21.98917456581184,22.773061536565038
83,wfd_depth_scale0.99_noddf_v1.5_10yrs.db,24.518238686929926,23.42357205149989,24.022430137251327,23.565754728062753,21.999966630121193,22.781984751461575
84,wfd_depth_scale0.99_v1.5_10yrs.db,24.51520487593721,23.4067654362176,24.01292840599261,23.55816283905285,21.992964078690967,22.773968865592924
