,TPM,LS,CI,db
0,0.3315782067796428,0.8343215066405572,0.713151364764268,dcr_nham1_ugri_v1.5_10yrs
1,0.3194754537740252,0.6113454752701845,0.6894502228826151,rolling_mod6_sdf_0.20_v1.5_10yrs
2,0.3380428555131253,0.6164721692025079,0.7686973749380882,wfd_depth_scale0.95_noddf_v1.5_10yrs
3,0.3389625896773291,0.8215011399077465,0.6856435643564357,u60_v1.5_10yrs
4,0.31386903232386576,0.6158921012151802,0.8306010928961749,footprint_stuck_rollingv1.5_10yrs
5,0.35404698020751363,0.8279674214240514,0.740979381443299,filterdist_indx4_v1.5_10yrs
6,0.3166247786977333,0.6372736577455086,0.6954590325765054,wfd_depth_scale0.70_noddf_v1.5_10yrs
7,0.3052497176844661,0.6665910691906122,0.7361386138613861,daily_ddf_v1.5_10yrs
8,0.2982180732380665,0.5792554335173437,0.7139857202855943,alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs
9,0.33898621545557645,0.7015894252853236,0.7136476426799008,goodseeing_gz_v1.5_10yrs
10,0.3683226605644036,0.9523068671930488,0.7757731958762887,filterdist_indx1_v1.5_10yrs
11,0.3350235903837962,0.7139500750032508,0.6787307882994547,footprint_standard_goalsv1.5_10yrs
12,0.3404230142957643,0.7668536387699362,0.7557788944723618,footprint_big_sky_dustv1.5_10yrs
13,0.3438866899181009,0.6210414709688511,0.714498510427011,footprint_bluer_footprintv1.5_10yrs
14,0.27330683138638834,0.6098729597205041,0.8709677419354839,twilight_neo_mod4_v1.5_10yrs
15,0.3325835904598171,0.6159992596040853,0.7506197322756569,goodseeing_gi_v1.5_10yrs
16,0.3266213915513685,0.486238140144679,0.7326732673267327,footprint_big_wfdv1.5_10yrs
17,0.34112189419310346,0.7574415681011407,0.7267326732673267,dcr_nham2_ugr_v1.5_10yrs
18,0.34281298493195184,0.37593469747782293,0.4712586719524282,short_exp_5ns_5expt_v1.5_10yrs
19,0.3282322486048297,0.6496953040808195,0.7281746031746031,goodseeing_griz_v1.5_10yrs
20,0.25980970150759203,0.5116694064347636,0.9572564612326044,twilight_neo_mod1_v1.5_10yrs
21,0.32564077133702674,0.6975392614828725,0.7508417508417509,bulges_cadence_bulge_wfd_v1.5_10yrs
22,0.3212270897628669,0.5405352364832999,0.7530925284512617,third_obs_pt120v1.5_10yrs
23,0.3250917917574042,0.6987762539316991,0.7473997028231798,wfd_depth_scale0.95_v1.5_10yrs
24,0.3358002809277085,0.721995006455911,0.7288471053933696,wfd_depth_scale0.85_noddf_v1.5_10yrs
25,0.3294276224856307,0.6340789376182417,0.7437185929648241,footprint_no_gp_northv1.5_10yrs
26,0.3406900997892694,0.6795429333219742,0.7732438016528925,footprint_big_skyv1.5_10yrs
27,0.30299282741866074,0.6006938632678958,0.7373310810810809,footprint_newBv1.5_10yrs
28,0.3520001126216162,0.5673132046294892,0.7433234421364985,baseline_2snaps_v1.5_10yrs
29,0.3383704992020177,0.7653328346878424,0.7246525990735976,footprint_big_sky_nouiyv1.5_10yrs
30,0.2723602094068109,0.7108657605528055,0.8553022794846382,twilight_neo_mod3_v1.5_10yrs
31,0.3241629708720581,0.6108286076095357,0.7070757050964869,greedy_footprint_v1.5_10yrs
32,0.3564795535932439,0.6556179393063667,0.7599009900990099,wfd_depth_scale0.90_v1.5_10yrs
33,0.31688626108159745,0.7473607034496823,0.7276785714285714,dcr_nham1_ug_v1.5_10yrs
34,0.3163483031893413,0.6982309874691234,0.7181008902077152,rolling_mod2_sdf_0.10_v1.5_10yrs
35,0.3082350126342774,0.48741958301352756,0.7517940059096665,footprint_newAv1.5_10yrs
36,0.3176335835886829,0.6084449178352668,0.7164769915883226,rolling_mod3_sdf_0.10_v1.5_10yrs
37,0.32417911560269164,0.6752904792138406,0.6838453914767096,var_expt_v1.5_10yrs
38,0.3119301709289157,0.6025665350682444,0.6963306621678617,bulges_i_heavy_v1.5_10yrs
39,0.31800153336013304,0.6197765976368412,0.7206317867719645,wfd_depth_scale0.75_v1.5_10yrs
40,0.3488669615475596,0.8386031699633562,0.7034653465346534,dcr_nham2_ug_v1.5_10yrs
41,0.36000238990608746,1.0,0.6978092783505154,filterdist_indx3_v1.5_10yrs
42,0.3264323682561249,0.5808119944646492,0.6997026759167493,goodseeing_i_v1.5_10yrs
43,0.31697312723077586,0.5914848639463519,0.6110009910802775,short_exp_2ns_5expt_v1.5_10yrs
44,0.3370923514403002,0.6909772045131568,0.7560613557644731,footprint_add_mag_cloudsv1.5_10yrs
45,0.3649536594697689,0.7080594236721116,0.7222938144329897,filterdist_indx6_v1.5_10yrs
46,0.3266852265505226,0.6266923747733718,0.7125867195242814,agnddf_v1.5_10yrs
47,0.3316306219292254,0.7548770240646415,0.7167572911517548,wfd_depth_scale0.70_v1.5_10yrs
48,0.309486327494344,0.6080333010351723,0.6910088644997889,alt_dust_v1.5_10yrs
49,0.3215961801856324,0.6808779785726626,0.7299306243805749,baseline_v1.5_10yrs
50,0.3428178630857157,0.9700843529918556,0.7210051546391752,filterdist_indx7_v1.5_10yrs
51,0.3364560255119426,0.7730857932762142,0.7738271604938272,wfd_depth_scale0.65_v1.5_10yrs
52,0.3455407870697441,0.6794035521141324,0.7469044081228331,descddf_v1.5_10yrs
53,0.3421325204882065,0.5349712337578866,0.7258200168208578,bulges_bs_v1.5_10yrs
54,0.3411239817501217,0.14901361552937623,0.7236055776892429,baseline_samefilt_v1.5_10yrs
55,0.3349861571172815,0.7909839347887712,0.7403350515463918,filterdist_indx2_v1.5_10yrs
56,0.3284193735917763,0.0,0.44930417495029823,short_exp_5ns_1expt_v1.5_10yrs
57,0.3268497820322003,0.6676888165368972,0.6894164193867458,wfd_depth_scale0.80_noddf_v1.5_10yrs
58,0.3228995738131001,0.7038397412543085,0.6716196136701337,wfd_depth_scale0.85_v1.5_10yrs
59,0.3158513819559178,0.7122931656728894,0.6916212196331185,dcr_nham2_ugri_v1.5_10yrs
60,0.3200104241809878,0.6594739785187612,0.7402082300446208,third_obs_pt45v1.5_10yrs
61,0.32217244822066154,0.7623579337861882,0.7283950617283951,wfd_depth_scale0.65_noddf_v1.5_10yrs
62,0.3202303001383057,0.5310511285276384,0.7352503718393654,wfd_depth_scale0.80_v1.5_10yrs
63,0.3293884443150891,0.5154746939812804,0.6966386554621848,bulges_cadence_i_heavy_v1.5_10yrs
64,0.3514678875402752,0.8069430828873634,0.7255154639175257,filterdist_indx8_v1.5_10yrs
65,0.3338633544515548,0.6286240824898189,0.7674764501735251,rolling_mod6_sdf_0.10_v1.5_10yrs
66,0.3260383986575599,0.6200354110537118,0.7166172106824926,footprint_gp_smoothv1.5_10yrs
67,0.27452708107289914,0.6174456529398017,0.9107142857142856,twilight_neo_mod2_v1.5_10yrs
68,0.3215961801856324,0.6808779785726626,0.7299306243805749,third_obs_pt15v1.5_10yrs
69,0.33092294825583196,0.549852481379106,0.7013096746937051,bulges_bulge_wfd_v1.5_10yrs
70,0.31935404985255844,0.6846801076419503,0.6788718456209797,goodseeing_gri_v1.5_10yrs
71,0.3250466652383373,0.6134307447044782,0.7622585438335809,rolling_mod3_sdf_0.20_v1.5_10yrs
72,0.3068216550808312,0.5392688868440291,0.5974155069582505,short_exp_2ns_1expt_v1.5_10yrs
73,0.3091480582122713,0.6810313508092681,0.7443012884043607,spiders_v1.5_10yrs
74,0.3387783609563325,0.6670987744395046,0.7050964868876793,third_obs_pt90v1.5_10yrs
75,0.32116403053475845,0.878375975098773,0.7693069306930693,dcr_nham1_ugr_v1.5_10yrs
76,0.324205208093225,0.7474109268850399,0.7328395061728395,wfd_depth_scale0.75_noddf_v1.5_10yrs
77,0.3359461453063178,0.5708772837472355,0.6861675756073377,third_obs_pt60v1.5_10yrs
78,0.3111889450973549,0.6432415004583047,0.7067855373947499,rolling_mod2_sdf_0.20_v1.5_10yrs
79,0.3544992392642801,0.7462323593203336,0.7398414271555996,wfd_depth_scale0.90_noddf_v1.5_10yrs
80,0.32976730100005475,0.5627904572793335,0.6878097125867195,wfd_depth_scale0.99_noddf_v1.5_10yrs
81,0.326712603191888,0.5549470460787779,0.7427368421052631,bulges_cadence_bs_v1.5_10yrs
82,0.32423757726316144,0.6566202304843564,0.7324431256181998,third_obs_pt30v1.5_10yrs
83,0.3177976509027577,0.6542323044630682,0.7776674937965259,wfd_depth_scale0.99_v1.5_10yrs
84,0.3527727184252488,0.6845012892422173,0.7641752577319587,filterdist_indx5_v1.5_10yrs
85,0.3180238575801889,0.473524120687996,0.7090146750524109,roll_mod2_dust_sdf_0.20_v1.5_10yrs
