db,FoM_CI,FoM_LS,FoM_PMT
agnddf_v1.5_10yrs,0.6740947075208914,0.9404735560964816,0.2535211267605634
alt_dust_v1.5_10yrs,0.8300835654596099,0.9404735560964816,0.2380952380952381
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.8300835654596099,0.9404735560964816,0.21897810218978106
baseline_2snaps_v1.5_10yrs,0.6908077994428969,0.9404735560964816,0.3207547169811321
baseline_v1.5_10yrs,0.6824512534818942,0.9404735560964816,0.27394752898108604
bulges_bs_v1.5_10yrs,0.8885793871866295,0.9404735560964816,0.3033071848814405
bulges_bulge_wfd_v1.5_10yrs,0.9052924791086352,0.9404735560964816,0.29411764705882354
bulges_cadence_bs_v1.5_10yrs,0.8802228412256268,0.9404735560964816,0.2717391304347826
bulges_cadence_bulge_wfd_v1.5_10yrs,0.9749303621169916,0.9404735560964816,0.27812939521800284
bulges_cadence_i_heavy_v1.5_10yrs,0.8495821727019499,0.9404735560964816,0.2831858407079646
bulges_i_heavy_v1.5_10yrs,0.9108635097493036,0.9404735560964816,0.24705882352941175
daily_ddf_v1.5_10yrs,0.7158774373259053,0.9404735560964816,0.2269716702844103
dcr_nham1_ug_v1.5_10yrs,0.6908077994428969,0.9404735560964816,0.27607361963190186
dcr_nham1_ugr_v1.5_10yrs,0.7186629526462396,0.9404735560964816,0.2810457516339869
dcr_nham1_ugri_v1.5_10yrs,0.6991643454038997,0.9404735560964816,0.27624309392265195
dcr_nham2_ug_v1.5_10yrs,0.7325905292479109,0.9404735560964816,0.3103448275862069
dcr_nham2_ugr_v1.5_10yrs,0.6295264623955432,0.9404735560964816,0.29620173134909056
dcr_nham2_ugri_v1.5_10yrs,0.7019498607242339,0.9404735560964816,0.2547770700636943
descddf_v1.5_10yrs,0.7019498607242339,0.9404735560964816,0.2985714285714286
filterdist_indx1_v1.5_10yrs,0.3704735376044568,0.9404735560964816,0.35599078341013823
filterdist_indx2_v1.5_10yrs,0.362116991643454,0.9404735560964816,0.2945205479452055
filterdist_indx3_v1.5_10yrs,0.3788300835654596,0.9404735560964816,0.326312710253035
filterdist_indx4_v1.5_10yrs,0.3732590529247911,0.9404735560964816,0.3602317504842049
filterdist_indx5_v1.5_10yrs,0.3816155988857939,0.9404735560964816,0.3286401098901099
filterdist_indx6_v1.5_10yrs,0.3955431754874652,0.9404735560964816,0.3555555555555556
filterdist_indx7_v1.5_10yrs,0.3064066852367688,0.9404735560964816,0.3258426966292135
filterdist_indx8_v1.5_10yrs,0.31754874651810583,0.9404735560964816,0.3316194353389024
footprint_add_mag_cloudsv1.5_10yrs,0.6601671309192201,0.9404735560964816,0.30612244897959184
footprint_big_sky_dustv1.5_10yrs,0.7186629526462396,0.9404735560964816,0.3093922651933701
footprint_big_sky_nouiyv1.5_10yrs,0.7214484679665738,0.9404735560964816,0.2857142857142857
footprint_big_skyv1.5_10yrs,0.6713091922005571,0.9404735560964816,0.3076923076923077
footprint_big_wfdv1.5_10yrs,0.7632311977715878,0.9404735560964816,0.2578201368523949
footprint_bluer_footprintv1.5_10yrs,0.6908077994428969,0.9404735560964816,0.3085422864428389
footprint_gp_smoothv1.5_10yrs,0.6545961002785515,0.9404735560964816,0.2792405063291139
footprint_newAv1.5_10yrs,0.8384401114206128,0.9404735560964816,0.23132664437012265
footprint_newBv1.5_10yrs,0.9164345403899722,0.9404735560964816,0.2461392254692326
footprint_no_gp_northv1.5_10yrs,0.7493036211699164,0.9404735560964816,0.2585470085470085
footprint_standard_goalsv1.5_10yrs,0.6740947075208914,0.9404735560964816,0.26666666666666666
footprint_stuck_rollingv1.5_10yrs,1.0,0.9404735560964816,0.25
goodseeing_gi_v1.5_10yrs,0.7214484679665738,0.9404735560964816,0.3157894736842105
goodseeing_gri_v1.5_10yrs,0.6908077994428969,0.9404735560964816,0.22105361131794488
goodseeing_griz_v1.5_10yrs,0.7019498607242339,0.9404735560964816,0.2830188679245283
goodseeing_gz_v1.5_10yrs,0.6740947075208914,0.9404735560964816,0.2748453384465106
goodseeing_i_v1.5_10yrs,0.6295264623955432,0.9404735560964816,0.2857142857142857
greedy_footprint_v1.5_10yrs,0.7381615598885793,0.9404735560964816,0.27946907435274143
roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.8662952646239555,0.9404735560964816,0.25
rolling_mod2_sdf_0.10_v1.5_10yrs,0.6768802228412256,0.9404735560964816,0.25
rolling_mod2_sdf_0.20_v1.5_10yrs,0.6323119777158774,0.9404735560964816,0.2297297297297297
rolling_mod3_sdf_0.10_v1.5_10yrs,0.6824512534818942,0.9404735560964816,0.25
rolling_mod3_sdf_0.20_v1.5_10yrs,0.713091922005571,0.9404735560964816,0.27779104953018
rolling_mod6_sdf_0.10_v1.5_10yrs,0.7465181058495822,0.9404735560964816,0.28205128205128205
rolling_mod6_sdf_0.20_v1.5_10yrs,0.6991643454038997,0.9404735560964816,0.2536231884057971
short_exp_2ns_1expt_v1.5_10yrs,0.5821727019498607,0.9404735560964816,0.24607329842931935
short_exp_2ns_5expt_v1.5_10yrs,0.479108635097493,0.9404735560964816,0.2603027754415476
short_exp_5ns_1expt_v1.5_10yrs,0.30919220055710306,0.9404735560964816,0.2462311557788945
short_exp_5ns_5expt_v1.5_10yrs,0.26740947075208915,0.9404735560964816,0.2903895060902155
spiders_v1.5_10yrs,0.7465181058495822,0.9404735560964816,0.2614102564102564
third_obs_pt120v1.5_10yrs,0.7019498607242339,0.9404735560964816,0.26582278481012656
third_obs_pt15v1.5_10yrs,0.6908077994428969,0.9404735560964816,0.27394752898108604
third_obs_pt30v1.5_10yrs,0.6629526462395543,0.9404735560964816,0.2754491017964072
third_obs_pt45v1.5_10yrs,0.6740947075208914,0.9404735560964816,0.2424426576913488
third_obs_pt60v1.5_10yrs,0.7186629526462396,0.9404735560964816,0.2735849056603773
third_obs_pt90v1.5_10yrs,0.6406685236768802,0.9404735560964816,0.28608630952380953
twilight_neo_mod1_v1.5_10yrs,0.8440111420612814,0.9404735560964816,0.10396294390118374
twilight_neo_mod2_v1.5_10yrs,0.8245125348189415,0.9404735560964816,0.20397213855421686
twilight_neo_mod3_v1.5_10yrs,0.7688022284122563,0.9404735560964816,0.1575
twilight_neo_mod4_v1.5_10yrs,0.8189415041782729,0.9404735560964816,0.2
u60_v1.5_10yrs,0.7381615598885793,0.9404735560964816,0.2983870967741936
var_expt_v1.5_10yrs,0.6128133704735376,0.9404735560964816,0.2621359223300971
wfd_depth_scale0.65_noddf_v1.5_10yrs,0.5654596100278552,0.9404735560964816,0.2715382927364495
wfd_depth_scale0.65_v1.5_10yrs,0.5849582172701949,0.9404735560964816,0.2814814814814815
wfd_depth_scale0.70_noddf_v1.5_10yrs,0.5821727019498607,0.9404735560964816,0.2559557572319909
wfd_depth_scale0.70_v1.5_10yrs,0.5849582172701949,0.9404735560964816,0.28938106796116503
wfd_depth_scale0.75_noddf_v1.5_10yrs,0.5403899721448467,0.9404735560964816,0.2538659793814433
wfd_depth_scale0.75_v1.5_10yrs,0.5905292479108635,0.9404735560964816,0.2682926829268293
wfd_depth_scale0.80_noddf_v1.5_10yrs,0.4846796657381616,0.9404735560964816,0.2865765765765766
wfd_depth_scale0.80_v1.5_10yrs,0.5515320334261838,0.9404735560964816,0.2449499629355078
wfd_depth_scale0.85_noddf_v1.5_10yrs,0.5487465181058496,0.9404735560964816,0.27956989247311825
wfd_depth_scale0.85_v1.5_10yrs,0.6072423398328691,0.9404735560964816,0.28125
wfd_depth_scale0.90_noddf_v1.5_10yrs,0.6183844011142061,0.9404735560964816,0.3333333333333333
wfd_depth_scale0.90_v1.5_10yrs,0.7103064066852368,0.9404735560964816,0.3309859154929577
wfd_depth_scale0.95_noddf_v1.5_10yrs,0.8133704735376045,0.9404735560964816,0.2972972972972973
wfd_depth_scale0.95_v1.5_10yrs,0.7520891364902507,0.9404735560964816,0.2569912609238452
wfd_depth_scale0.99_noddf_v1.5_10yrs,0.6908077994428969,0.9404735560964816,0.2640449438202247
wfd_depth_scale0.99_v1.5_10yrs,0.7353760445682451,0.9404735560964816,0.26393188854489164
